env,variant,method,lambda,beta,seed,episode,sample_return,greedy_return,baseline
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,0,160,1.796875,2.0,1.5265181587443362
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,0,180,1.74609375,2.0,1.6288462013956075
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,0,200,1.8046875,2.0,1.6515427222725827
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,0,220,1.90234375,2.0,1.7042744883570504
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,0,240,1.921875,2.0,1.7608282468212966
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,0,260,1.82421875,2.0,1.8403270309592554
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,0,280,1.86328125,2.0,1.8348685227083563
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,0,300,1.9609375,2.0,1.8897569093724034
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,0,320,1.94140625,2.0,1.904697695534929
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,0,340,1.9609375,2.0,1.9151063462479434
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,0,360,2.0,2.0,1.9259459367322842
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,0,380,1.9609375,2.0,1.909768668867101
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,0,400,1.98046875,2.0,1.939760844033603
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,1,1,0.5390625,2.0,0.005
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,1,20,0.8125,2.0,0.26700485115911105
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,1,40,0.87109375,2.0,0.4386203838904689
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,1,60,1.2109375,2.0,0.711669465172657
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,1,80,1.38671875,2.0,0.8313786859221212
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,1,100,1.56640625,2.0,1.0945197336301022
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,1,120,1.66015625,2.0,1.3313634543822377
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,1,140,1.6796875,2.0,1.4707556057136353
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,1,160,1.7578125,2.0,1.5376142527374832
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,1,180,1.70703125,2.0,1.6337325866275694
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,1,200,1.84375,2.0,1.6859884825975744
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,1,220,1.8359375,2.0,1.790363407759227
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,1,240,1.91796875,2.0,1.8600449398484877
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,1,260,1.9609375,2.0,1.8096329559831297
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,1,280,1.921875,2.0,1.8099189461904266
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,1,300,1.86328125,2.0,1.8731003731971199
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,1,320,1.9609375,2.0,1.8558984951855486
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,1,340,1.94140625,2.0,1.9037966866439668
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,1,360,1.9609375,2.0,1.887263901094259
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,1,380,1.90234375,2.0,1.9030333433347886
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,1,400,1.98046875,2.0,1.8714562056698845
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,2,1,0.55078125,2.0,0.01
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,2,20,0.80078125,2.0,0.2265643412337462
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,2,40,0.92578125,2.0,0.40213283970100133
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,2,60,1.11328125,2.0,0.5599551887020885
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,2,80,1.2890625,2.0,0.7609337758088254
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,2,100,1.37890625,2.0,1.0459069949801452
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,2,120,1.60546875,2.0,1.1782268160261902
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,2,140,1.69921875,2.0,1.3153962791132947
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,2,160,1.71875,2.0,1.415937115636408
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,2,180,1.8984375,2.0,1.5865451623925924
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,2,200,1.765625,2.0,1.7055100268864516
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,2,220,1.82421875,2.0,1.71896534821397
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,2,240,1.94140625,2.0,1.7883690261282292
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,2,260,1.8828125,2.0,1.8217774832212266
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,2,280,1.90234375,2.0,1.83474815148769
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,2,300,1.98046875,2.0,1.8715816055711043
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,2,320,1.921875,2.0,1.8694131621060255
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,2,340,1.83984375,2.0,1.9128191860156922
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,2,360,1.921875,2.0,1.9217791098312331
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,2,380,1.87890625,2.0,1.9477791101655513
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,2,400,1.9609375,2.0,1.9281406162895813
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,3,1,0.57421875,2.0,0.01
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,3,20,0.5546875,2.0,0.17302981661720915
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,3,40,0.82421875,2.0,0.3624904079726432
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,3,60,1.02734375,2.0,0.5550723164164004
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,3,80,1.421875,2.0,0.7351482247653398
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,3,100,1.5390625,2.0,0.9314349817209377
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,3,120,1.51171875,2.0,1.1732624460683085
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,3,140,1.63671875,2.0,1.3075290242314261
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,3,160,1.86328125,2.0,1.4582680249157172
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,3,180,1.8046875,2.0,1.5120504137073747
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,3,200,1.8359375,2.0,1.6070638442830725
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,3,220,1.89453125,2.0,1.6981482472595517
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,3,240,1.98046875,2.0,1.779255803850726
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,3,260,1.90234375,2.0,1.828129414932074
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,3,280,1.87890625,2.0,1.8417097435296956
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,3,300,1.90234375,2.0,1.8943241629292664
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,3,320,1.9609375,2.0,1.894338541323744
delayed_lever,abs_lam0.50_beta0.75,acct,0.5,0.75,3,340,1.921875,2.0,1.9073135083588593
