env,method,top_fraction,seed,episode,sample_return,greedy_return,baseline
delayed_lever,learned_pruned_acct,0.10,4,480,1.90234375,2.0,1.9691447224225553
delayed_lever,learned_pruned_acct,0.10,4,500,1.9609375,2.0,1.979400770718582
delayed_lever,learned_pruned_acct,0.10,4,520,1.921875,2.0,1.986247790319714
delayed_lever,learned_pruned_acct,0.10,4,540,1.921875,2.0,1.9908189151881936
delayed_lever,learned_pruned_acct,0.10,4,560,1.94140625,2.0,1.9561577734820959
delayed_lever,learned_pruned_acct,0.10,4,580,1.94140625,2.0,1.9707305800771548
delayed_lever,learned_pruned_acct,0.10,4,600,2.0,2.0,1.9174473822117999
delayed_lever,learned_pruned_acct,0.10,4,620,1.9609375,2.0,1.9448872142753464
delayed_lever,learned_pruned_acct,0.10,4,640,1.94140625,2.0,1.8649957113749236
delayed_lever,learned_pruned_acct,0.10,4,660,1.921875,2.0,1.8535313234673865
delayed_lever,learned_pruned_acct,0.10,4,680,1.9609375,2.0,1.8841214009195963
delayed_lever,learned_pruned_acct,0.10,4,700,1.921875,2.0,1.9226385234981098
delayed_lever,learned_pruned_acct,0.10,4,720,1.94140625,2.0,1.9298886340144579
delayed_lever,learned_pruned_acct,0.10,4,740,2.0,2.0,1.9327662729852244
delayed_lever,learned_pruned_acct,0.10,4,760,1.98046875,2.0,1.9311042278741293
delayed_lever,learned_pruned_acct,0.10,4,780,1.98046875,2.0,1.9359096902937336
delayed_lever,learned_pruned_acct,0.10,4,800,1.98046875,2.0,1.9572127983278433
delayed_lever,learned_pruned_acct,0.10,5,1,0.54296875,0.5,0.01
delayed_lever,learned_pruned_acct,0.10,5,20,0.62890625,2.0,0.20911002242415935
delayed_lever,learned_pruned_acct,0.10,5,40,0.76171875,2.0,0.36181558883378084
delayed_lever,learned_pruned_acct,0.10,5,60,0.9140625,2.0,0.4390835144115637
delayed_lever,learned_pruned_acct,0.10,5,80,1.00390625,2.0,0.6534559533972969
delayed_lever,learned_pruned_acct,0.10,5,100,1.34375,2.0,0.8095322862396137
delayed_lever,learned_pruned_acct,0.10,5,120,1.44140625,2.0,0.975686550213515
delayed_lever,learned_pruned_acct,0.10,5,140,1.47265625,2.0,1.1555092481670832
delayed_lever,learned_pruned_acct,0.10,5,160,1.6796875,2.0,1.317285453272184
delayed_lever,learned_pruned_acct,0.10,5,180,1.703125,2.0,1.3506064765423105
delayed_lever,learned_pruned_acct,0.10,5,200,1.734375,2.0,1.471821887013517
delayed_lever,learned_pruned_acct,0.10,5,220,1.83203125,2.0,1.498390776345822
delayed_lever,learned_pruned_acct,0.10,5,240,1.80078125,2.0,1.5633183754775133
delayed_lever,learned_pruned_acct,0.10,5,260,1.8359375,2.0,1.658967866349823
delayed_lever,learned_pruned_acct,0.10,5,280,1.94140625,2.0,1.7723242289504937
delayed_lever,learned_pruned_acct,0.10,5,300,1.86328125,2.0,1.7886294294343008
delayed_lever,learned_pruned_acct,0.10,5,320,1.94140625,2.0,1.8588873220959168
delayed_lever,learned_pruned_acct,0.10,5,340,1.859375,2.0,1.905792051315525
delayed_lever,learned_pruned_acct,0.10,5,360,1.91796875,2.0,1.8539668925726964
delayed_lever,learned_pruned_acct,0.10,5,380,1.921875,2.0,1.8642072421708216
delayed_lever,learned_pruned_acct,0.10,5,400,1.921875,2.0,1.8687994854985908
delayed_lever,learned_pruned_acct,0.10,5,420,1.94140625,2.0,1.8946764464659733
delayed_lever,learned_pruned_acct,0.10,5,440,1.83984375,2.0,1.9100672379537396
delayed_lever,learned_pruned_acct,0.10,5,460,1.87890625,2.0,1.9399601711359624
delayed_lever,learned_pruned_acct,0.10,5,480,1.94140625,2.0,1.9373189117075564
delayed_lever,learned_pruned_acct,0.10,5,500,1.9609375,2.0,1.9155373020889348
delayed_lever,learned_pruned_acct,0.10,5,520,1.9609375,2.0,1.9251478019924952
delayed_lever,learned_pruned_acct,0.10,5,540,2.0,2.0,1.9300097921380541
delayed_lever,learned_pruned_acct,0.10,5,560,1.90234375,2.0,1.9143829315482448
delayed_lever,learned_pruned_acct,0.10,5,580,1.9609375,2.0,1.9247464195684938
delayed_lever,learned_pruned_acct,0.10,5,600,1.9609375,2.0,1.925260109800813
delayed_lever,learned_pruned_acct,0.10,5,620,1.9765625,2.0,1.9501030534949224
delayed_lever,learned_pruned_acct,0.10,5,640,1.94140625,2.0,1.9666884007469734
delayed_lever,learned_pruned_acct,0.10,5,660,1.98046875,2.0,1.9777609107867682
delayed_lever,learned_pruned_acct,0.10,5,680,1.98046875,2.0,1.9625549868366736
delayed_lever,learned_pruned_acct,0.10,5,700,2.0,2.0,1.9332583665551726
delayed_lever,learned_pruned_acct,0.10,5,720,2.0,2.0,1.9554427534642769
delayed_lever,learned_pruned_acct,0.10,5,740,1.9609375,2.0,1.970253227013294
delayed_lever,learned_pruned_acct,0.10,5,760,2.0,2.0,1.980140817220086
delayed_lever,learned_pruned_acct,0.10,5,780,1.9609375,2.0,1.986741851263588
delayed_lever,learned_pruned_acct,0.10,5,800,2.0,2.0,1.9911487542128565
delayed_lever,learned_pruned_acct,0.10,6,1,0.6328125,0.75,0.04
delayed_lever,learned_pruned_acct,0.10,6,20,0.64453125,2.0,0.2610374216088504
delayed_lever,learned_pruned_acct,0.10,6,40,0.75,2.0,0.4863143831844224
delayed_lever,learned_pruned_acct,0.10,6,60,0.8984375,2.0,0.5820016479989657
delayed_lever,learned_pruned_acct,0.10,6,80,1.1875,2.0,0.71208296811362
delayed_lever,learned_pruned_acct,0.10,6,100,1.375,2.0,0.895721095555485
delayed_lever,learned_pruned_acct,0.10,6,120,1.53125,2.0,1.0784722612001836
delayed_lever,learned_pruned_acct,0.10,6,140,1.58203125,2.0,1.1986398024347735
delayed_lever,learned_pruned_acct,0.10,6,160,1.765625,2.0,1.3644640638954022
