env,perturbation,method,seed,episode,sample_return,greedy_return,baseline
delayed_lever,scale_0.25,perturbed_agent_time_cf,8,160,0.9453125,2.0,0.8400216494981244
delayed_lever,scale_0.25,perturbed_agent_time_cf,8,180,0.87109375,2.0,0.8257068627237031
delayed_lever,scale_0.25,perturbed_agent_time_cf,8,200,0.87109375,2.0,0.776291078197021
delayed_lever,scale_0.25,perturbed_agent_time_cf,8,220,0.9609375,2.0,0.7623854424195259
delayed_lever,scale_0.25,perturbed_agent_time_cf,8,240,1.015625,2.0,0.835363642227763
delayed_lever,scale_0.25,perturbed_agent_time_cf,8,260,1.171875,2.0,0.9393153838914718
delayed_lever,scale_0.25,perturbed_agent_time_cf,8,280,1.08203125,2.0,0.9798503247559583
delayed_lever,scale_0.25,perturbed_agent_time_cf,8,300,1.24609375,2.0,1.0404597282199224
delayed_lever,scale_0.25,perturbed_agent_time_cf,8,320,1.31640625,2.0,1.1762966652704694
delayed_lever,scale_0.25,perturbed_agent_time_cf,8,340,1.265625,2.0,1.183407271483548
delayed_lever,scale_0.25,perturbed_agent_time_cf,8,360,1.43359375,2.0,1.2891761786187534
delayed_lever,scale_0.25,perturbed_agent_time_cf,8,380,1.25,2.0,1.355081372025336
delayed_lever,scale_0.25,perturbed_agent_time_cf,8,400,1.3671875,2.0,1.3651831646090449
delayed_lever,scale_0.25,perturbed_agent_time_cf,9,1,0.58203125,2.0,0.04
delayed_lever,scale_0.25,perturbed_agent_time_cf,9,20,0.625,2.0,0.22059667318424103
delayed_lever,scale_0.25,perturbed_agent_time_cf,9,40,0.52734375,2.0,0.3071575185472875
delayed_lever,scale_0.25,perturbed_agent_time_cf,9,60,0.6015625,2.0,0.4129536816229564
delayed_lever,scale_0.25,perturbed_agent_time_cf,9,80,0.70703125,2.0,0.4809391085766148
delayed_lever,scale_0.25,perturbed_agent_time_cf,9,100,0.75,2.0,0.5402486221614725
delayed_lever,scale_0.25,perturbed_agent_time_cf,9,120,0.85546875,2.0,0.5509005799972283
delayed_lever,scale_0.25,perturbed_agent_time_cf,9,140,0.78125,2.0,0.5742558686239547
delayed_lever,scale_0.25,perturbed_agent_time_cf,9,160,0.92578125,2.0,0.708814789497482
delayed_lever,scale_0.25,perturbed_agent_time_cf,9,180,0.85546875,2.0,0.707396279589206
delayed_lever,scale_0.25,perturbed_agent_time_cf,9,200,0.87890625,2.0,0.7774173293716979
delayed_lever,scale_0.25,perturbed_agent_time_cf,9,220,0.984375,2.0,0.8134181495381729
delayed_lever,scale_0.25,perturbed_agent_time_cf,9,240,1.08984375,2.0,0.9494778258955707
delayed_lever,scale_0.25,perturbed_agent_time_cf,9,260,1.10546875,2.0,0.966890423129679
delayed_lever,scale_0.25,perturbed_agent_time_cf,9,280,0.99609375,2.0,1.0986040513893391
delayed_lever,scale_0.25,perturbed_agent_time_cf,9,300,1.265625,2.0,1.114323554295814
delayed_lever,scale_0.25,perturbed_agent_time_cf,9,320,1.1484375,2.0,1.1738966573144
delayed_lever,scale_0.25,perturbed_agent_time_cf,9,340,1.421875,2.0,1.1310847984782484
delayed_lever,scale_0.25,perturbed_agent_time_cf,9,360,1.28515625,2.0,1.1675339125449866
delayed_lever,scale_0.25,perturbed_agent_time_cf,9,380,1.453125,2.0,1.1968190501336713
delayed_lever,scale_0.25,perturbed_agent_time_cf,9,400,1.390625,2.0,1.2833552850840435
delayed_lever,scale_0.25,perturbed_agent_time_cf,10,1,0.49609375,2.0,0.01
delayed_lever,scale_0.25,perturbed_agent_time_cf,10,20,0.61328125,2.0,0.19426834130891754
delayed_lever,scale_0.25,perturbed_agent_time_cf,10,40,0.65625,2.0,0.3805738686926396
delayed_lever,scale_0.25,perturbed_agent_time_cf,10,60,0.66796875,2.0,0.44283991198013806
delayed_lever,scale_0.25,perturbed_agent_time_cf,10,80,0.70703125,2.0,0.4481750350541295
delayed_lever,scale_0.25,perturbed_agent_time_cf,10,100,0.75390625,2.0,0.4980509636584599
delayed_lever,scale_0.25,perturbed_agent_time_cf,10,120,0.6953125,2.0,0.5583854582322442
delayed_lever,scale_0.25,perturbed_agent_time_cf,10,140,0.74609375,2.0,0.6468430828420263
delayed_lever,scale_0.25,perturbed_agent_time_cf,10,160,0.8125,2.0,0.6872140596520739
delayed_lever,scale_0.25,perturbed_agent_time_cf,10,180,0.890625,2.0,0.7622942949297041
delayed_lever,scale_0.25,perturbed_agent_time_cf,10,200,1.00390625,2.0,0.8711444693853938
delayed_lever,scale_0.25,perturbed_agent_time_cf,10,220,0.96484375,2.0,0.8899276126054296
delayed_lever,scale_0.25,perturbed_agent_time_cf,10,240,1.03515625,2.0,0.8603508235056874
delayed_lever,scale_0.25,perturbed_agent_time_cf,10,260,0.9765625,2.0,0.9144555961566746
delayed_lever,scale_0.25,perturbed_agent_time_cf,10,280,1.18359375,2.0,0.9725800468865589
delayed_lever,scale_0.25,perturbed_agent_time_cf,10,300,1.08984375,2.0,1.0743460809014849
delayed_lever,scale_0.25,perturbed_agent_time_cf,10,320,1.2265625,2.0,1.1098472215411148
delayed_lever,scale_0.25,perturbed_agent_time_cf,10,340,1.19921875,2.0,1.1210078642590482
